"","binomial","X","Species.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Authority","Infraspecific.rank","Infraspecific.name","Infraspecific.authority","Stock.subpopulation","Synonyms","Common.names..Eng.","Common.names..Fre.","Common.names..Spa.","Red.List.status","Red.List.criteria","Red.List.criteria.version","Year.assessed","Population.trend","Petitioned","mating_system","sex_dim","ref.matsys","ref.sexdim","male_svl_cm","female_svl_cm","male_body_mass_g","female_body_mass_g","ref.svl.male","ref.svl.female","ref.body_mass.male","ref.body_mass.female","shape_Leng","shape_Area","han_MorR","sex_role.liker","malepolyfreq.liker","malepolyscore.liker","fempolyfreq.liker","fempolyscore.liker","parentalcare_bias.liker","malecareduration.liker","femcareduration.liker","breedingdens.liker","EPP.freq.liker","body.size.pip","latitude.pip","sex.size.dim","ref.sex.size.dim","body_mass_adult","ref_body_mass","sex.sel.traits","ref.sex.sel.t","comments","ASR","ref.asr"
"2044","Anaxyrus americanus",2044,54570,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Anaxyrus","americanus","(Holbrook, 1836)",NA,NA,NA,NA,"Bufo americanus  ","American Toad",NA,NA,"LC",NA,3.1,2015,"stable",NA,"Polygynous, Polygynandrous (promiscuous)","Female larger, Sexes colored or patterned differently","adw","adw",5.31,6.41,NA,NA,"han","han",NA,NA,18.05564164,1.022745571,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASR based on marked individuals trapped during breeding aggregations: 624 males and 87 females (CCI 29/10/2018) ",0.88,"(Christein& Taylor, 1978)"
"2051","Anaxyrus debilis",2051,54626,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Anaxyrus","debilis","(Girard, 1854)",NA,NA,NA,NA,"Bufo debilis  ",NA,NA,"Sapo Verde","LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,3.51,3.65,NA,NA,"han","han",NA,NA,97.0217115,136.86953,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2052","Anaxyrus exsul",2052,3169,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Anaxyrus","exsul","(Myers, 1942)",NA,NA,NA,NA,"Bufo exsul  ","Black Toad",NA,NA,"VU","D2",3.1,2004,"stable",NA,NA,NA,NA,NA,5.16,5.09,NA,NA,"han","han",NA,NA,0.3654612,0.010628248,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2053","Anaxyrus fowleri",2053,54640,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Anaxyrus","fowleri","(Hinckley, 1882)",NA,NA,NA,NA,"Bufo fowleri  ","Fowler's Toad",NA,NA,"LC",NA,3.1,2015,"stable",NA,NA,NA,NA,NA,5.57,7.15,NA,NA,"han","han",NA,NA,297.5898491,200.7141975,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2061","Anaxyrus quercicus",2061,54743,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Anaxyrus","quercicus","(Holbrook, 1840)",NA,NA,NA,NA,"Bufo quercicus  ","Oak Toad",NA,NA,"LC",NA,3.1,2004,"stable",NA,"Polygynandrous (promiscuous)","Female larger, Sexes shaped differently, Sexes colored or patterned differently","adw","adw, (Dodd Jr, 1994)",2.75,2.89,NA,NA,"han","han",NA,NA,120.0577038,42.87804807,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASR based on marked individuals trapped during breeding season: 132 males and 77 females (CCI 29/10/2018)",0.63,"(Dodd Jr, 1994)"
"2062","Anaxyrus retiformis",2062,3173,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Anaxyrus","retiformis","(Sanders & Smith, 1951)",NA,NA,NA,NA,"Bufo retiformis  ","Sonoran Green Toad ",NA,"Sapo Verde-sonorense","LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,4.44,5.25,NA,NA,"han","han",NA,NA,10.54118787,4.919491769,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2178","Andinobates fulguritus",2178,55184,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Andinobates","fulguritus","(Silverstone, 1975)",NA,NA,NA,NA,"Dendrobates fulguritus  |Ranitomeya fulgurita|Ranitomeya fulguritus  ","Yellowbelly Poison Frog, Yellow-bellied Poison-arrow Frog, Yellow-bellied Poison Frog",NA,NA,"LC",NA,3.1,2004,"unknown",NA,NA,NA,NA,NA,1.45,1.52,NA,NA,"nali","nali",NA,NA,20.82910264,3.261192709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2179","Andinobates minutus",2179,55192,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Andinobates","minutus","(Shreve, 1935)",NA,NA,NA,NA,"Dendrobates minutus  |Dendrobates shrevei  |Ranitomeya minuta|Ranitomeya minutus  ","Bluebelly Poison Frog, Blue-bellied Poison-arrow Frog, Blue-bellied Poison Frog",NA,NA,"LC",NA,3.1,2004,"unknown",NA,NA,NA,NA,NA,1.32,1.35,NA,NA,"nali","nali",NA,NA,29.1029853,4.53379829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2396","Anomaloglossus stepheni",2396,55151,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","AROMOBATIDAE","Anomaloglossus","stepheni","(Martins, 1990)",NA,NA,NA,NA,"Colostethus stepheni  ",NA,NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,1.66,1.71,NA,NA,"han","han",NA,NA,5.637131087,1.964838211,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2421","Anotheca spinosa",2421,55296,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Anotheca","spinosa","(Steindachner, 1864)",NA,NA,NA,NA,"Anotheca  coronata|Gastrotheca coronata  |Hyla  spinosa |Nototrema  coronatum","Spiny-headed Treefrog, Coronated Treefrog, Crowned Hyla, Spine-headed Tree Frog, Spinyhead Treefrog",NA,"Rana De Corona","LC",NA,3.1,2008,"decreasing",NA,NA,NA,NA,NA,6.11,6.34,NA,NA,"han","han",NA,NA,11.24951434,0.725813701,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2464","Ansonia malayana",2464,54474,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Ansonia","malayana","Inger, 1960",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2014,NA,NA,NA,NA,NA,NA,2.21,2.7,NA,NA,"han","han",NA,NA,21.67986894,6.909970203,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2852","Aplastodiscus arildae",2852,55397,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Aplastodiscus","arildae","(Cruz and Peixoto, 1985)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,3.614,4.01,NA,NA,"nali","nali",NA,NA,20.08416938,14.18412015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2860","Aplastodiscus leucopygius",2860,55538,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Aplastodiscus","leucopygius","(Cruz & Peixoto, 1985)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,3.969,4.019,NA,NA,"nali","nali",NA,NA,21.38543995,10.1705136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2862","Aplastodiscus perviridis",2862,55301,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Aplastodiscus","perviridis","Lutz, 1950",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,3.966,4.247,NA,NA,"nali","nali",NA,NA,50.02744987,88.40538822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3466","Arthroleptides yakusini",3466,58065,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","PETROPEDETIDAE","Arthroleptides","yakusini","Channing, Moyer & Howell, 2002",NA,NA,NA,NA,"Petropedetes yakusini",NA,NA,NA,"EN","B1ab(iii)",3.1,2013,"unknown",NA,NA,NA,NA,NA,7.3,5.6,NA,NA,"nali","nali",NA,NA,5.535222484,0.255255277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3562","Ascaphus truei",3562,54414,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","ASCAPHIDAE","Ascaphus","truei","Stejneger, 1899",NA,NA,NA,NA,NA,"Coastal Tailed Frog, American Bell Toad, American Discoglossoid Toad, American Ribbed Toad, Bell's Toad, Pacific Tailed Frog, Tailed Frog",NA,NA,"LC",NA,3.1,2015,"unknown",NA,"Polygynous","Sexes alike, Female larger, Sexes shaped differently","adw","adw",4.7,4.9,NA,NA,"nali","nali",NA,NA,84.81595682,23.26166338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASR based on collected adults: 201 males and 255 females (CCI 29/10/2018)",0.44,"(Metter, 1964)"
"3865","Atelopus chiriquiensis",3865,54498,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Atelopus","chiriquiensis","Shreve, 1936",NA,NA,NA,NA,NA,"Chiriqui Harlequin Frog, Lewis' Stubfoot Toad",NA," Rana Arlequín de Chiriqui","CR","A2ace",3.1,2010,"decreasing",NA,NA,NA,NA,NA,3.1,4.25,NA,NA,"han","han",NA,NA,1.891922443,0.130153896,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3932","Atelopus senex",3932,54549,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Atelopus","senex","Taylor, 1952",NA,NA,NA,NA,NA,"Pass Stubfoot Toad",NA,NA,"CR","A2ace",3.1,2008,"decreasing",NA,NA,NA,NA,NA,3,3.65,NA,NA,"han","han",NA,NA,0.572986647,0.025156214,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3938","Atelopus spumarius",3938,54555,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Atelopus","spumarius","Cope, 1871",NA,NA,NA,NA,NA,"Pebas Stubfoot Toad",NA,NA,"VU","A3ce",3.1,2010,"decreasing",NA,NA,NA,NA,NA,2.75,3.5,NA,NA,"han","han",NA,NA,69.09981449,65.59538823,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3943","Atelopus varius",3943,54560,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Atelopus","varius","(Lichtenstein & Martens, 1856)",NA,NA,NA,NA,"Atelopus bibronii|Atelopus loomisi|Atelopus varius subspecies ambulatorius|Atelopus varius subspecies bibroni|Atelopus varius subspecies loomisi|Atelopus varius variety maculatus|Atelopus  varius subspecies maculatus|Atelopus  varius subspecies varius|Hylaemorphus bibronii|Hylaemorphus dumerilii|Hylaemorphus pluto|Hylaemorphus plutonius|Phrynidium bibronii|Phrynidium varium|Phrynidium varium variety adspersum|Phrynidium  varium variety maculatum |Phryniscus bibronii|Phryniscus dumerilii|Phryniscus varius","Variable Harlequin Frog, Clown Frog, Golden Frog, Painted Frog, Veragoa Stubfoot Toad",NA,"Rana Arlequin Variable","CR","A2ace",3.1,2010,"decreasing",NA,NA,NA,NA,NA,3.3,4.05,NA,NA,"han","han",NA,NA,6.679259244,0.500063603,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4341","Babina adenopleura",4341,58538,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Babina","adenopleura","(Boulenger, 1909)",NA,NA,NA,NA,"Rana adenopleura  |Rana caldwelli  ",NA,NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,5.02,5.22,NA,NA,"nali","nali",NA,NA,67.67252126,50.52697819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342","Babina chapaensis",4342,58570,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Babina","chapaensis","(Bourret, 1937)",NA,NA,NA,NA,"Hylarana chapaensis|Rana chapaensis  ","Chapa Frog",NA,NA,"LC",NA,3.1,2017,"decreasing",NA,NA,NA,NA,NA,8.11,9.22,NA,NA,"nali","nali",NA,NA,7.841965703,0.123052392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4344","Babina holsti",4344,19168,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Babina","holsti","(Boulenger, 1892)",NA,NA,NA,NA,"Rana holsti  ","Holst's Frog",NA,NA,"EN","B1ab(iii,v)",3.1,2004,"decreasing",NA,NA,NA,NA,NA,11.87,10.3,NA,NA,"han","han",NA,NA,1.818163935,0.056072427,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4346","Babina okinavana",4346,58685,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Babina","okinavana","(Boettger, 1895)",NA,NA,NA,NA,"Babina psaltes  |Rana okinavana  ","Ryukyu Brown Frog",NA,NA,"EN","B1ab(iii,iv)+2ab(iii,iv)",3.1,2004,"decreasing",NA,NA,NA,NA,NA,4.02,4.35,NA,NA,"han","han",NA,NA,9.024707913,0.199277367,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4347","Babina pleuraden",4347,58698,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Babina","pleuraden","(Boulenger, 1904)",NA,NA,NA,NA,"Rana pleuraden  ",NA,NA,NA,"LC",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,5.1,4.98,NA,NA,"han","han",NA,NA,24.56002055,30.0368574,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4542","Barbourula busuangensis",4542,23900,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BOMBINATORIDAE","Barbourula","busuangensis","Taylor & Noble, 1924",NA,NA,NA,NA,NA,"Palawan Flat-headed frog, Philippine Flat-headed Frog",NA,NA,"VU","B1ab(iii)",3.1,2004,"decreasing",NA,NA,NA,NA,NA,8.48,8.53,NA,NA,"han","han",NA,NA,6.61082837,0.220704206,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5452","Bokermannohyla alvarengai",5452,55385,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Bokermannohyla","alvarengai","(Bokermann, 1956)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,10.08,8.375,NA,NA,"nali","nali",NA,NA,17.48451288,11.73837515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5453","Bokermannohyla astartea",5453,55400,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Bokermannohyla","astartea","(Bokermann, 1967)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,4.022,4.41,NA,NA,"nali","nali",NA,NA,14.95504725,6.339352771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5456","Bokermannohyla circumdata",5456,55451,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Bokermannohyla","circumdata","(Cope, 1871)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2010,"decreasing",NA,NA,NA,NA,NA,6.3,6.3,NA,NA,"han","han",NA,NA,16.02362783,3.323442204,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5462","Bokermannohyla hylax",5462,55506,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Bokermannohyla","hylax","(Heyer, 1985)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2010,"decreasing",NA,NA,NA,NA,NA,5.644,6.014,NA,NA,"nali","nali",NA,NA,25.99854971,5.548124872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5463","Bokermannohyla ibitiguara",5463,55509,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Bokermannohyla","ibitiguara","(Cardoso, 1983)",NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,3.1,2004,"unknown",NA,NA,NA,NA,NA,3.99,3.996,NA,NA,"nali","nali",NA,NA,0.091723257,0.000669481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5464","Bokermannohyla ibitipoca",5464,55510,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Bokermannohyla","ibitipoca","(Caramaschi and Feio, 1990)",NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,3.1,2004,"unknown",NA,NA,NA,NA,NA,3.975,4.23,NA,NA,"nali","nali",NA,NA,0.039483928,0.000124057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5465","Bokermannohyla itapoty",5465,135726,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Bokermannohyla","itapoty","Lugli & Haddad, 2006",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2008,"unknown",NA,NA,NA,NA,NA,4.57,5.021,NA,NA,"nali","nali",NA,NA,1.792869116,0.197687128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5466","Bokermannohyla izecksohni",5466,10355,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Bokermannohyla","izecksohni","(Jim and Caramaschi, 1979)",NA,NA,NA,NA,NA,NA,NA,NA,"CR","B1ab(iii,v)+2ab(iii,v)",3.1,2004,"decreasing",NA,NA,NA,NA,NA,4.53,4.626,NA,NA,"nali","nali",NA,NA,0.269401575,0.005775364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5469","Bokermannohyla luctuosa",5469,55544,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Bokermannohyla","luctuosa","(Pombal and Haddad, 1993)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,5.751,5.69,NA,NA,"nali","nali",NA,NA,7.529894936,1.172866534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5470","Bokermannohyla martinsi",5470,55549,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Bokermannohyla","martinsi","(Bokermann, 1964)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,6.15,5.6,NA,NA,"han","han",NA,NA,6.229239717,1.871925733,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5472","Bokermannohyla oxente",5472,135786,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Bokermannohyla","oxente","Lugli & Haddad, 2006",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2008,"unknown",NA,NA,NA,NA,NA,4.604,4.715,NA,NA,"nali","nali",NA,NA,3.33231966,0.621914359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5474","Bokermannohyla ravida",5474,55623,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Bokermannohyla","ravida","(Caramaschi, Napoli and Bernardes, 2001)",NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,3.1,2004,"unknown",NA,NA,NA,NA,NA,4.21,3.8,NA,NA,"nali","nali",NA,NA,0.107306264,0.000916282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5606","Bombina lichuanensis",5606,54446,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BOMBINATORIDAE","Bombina","lichuanensis","Ye and Fei, 1994",NA,NA,NA,NA,NA,"Lichuan Bell Toad",NA,NA,"VU","B1ab(iii)",3.1,2004,"decreasing",NA,NA,NA,NA,NA,5.84,6.34,NA,NA,"han","han",NA,NA,1.28403879,0.084896752,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5607","Bombina orientalis",5607,54449,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BOMBINATORIDAE","Bombina","orientalis","(Boulenger, 1890)",NA,NA,NA,NA,NA,"Oriental Bell Toad, Oriental Fire-bellied Toad",NA,NA,"LC",NA,3.1,2004,"decreasing",NA,"Polygynandrous (promiscuous)","Female larger, Sexes shaped differently","adw","adw",4.21,4.7,NA,NA,"han","han",NA,NA,162.5793141,104.3297111,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"adkins-regan",NA,NA,NA,NA,"No data available (CCI 30/10/2018)",NA,NA
"5635","Boophis doulioti",5635,57397,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","MANTELLIDAE","Boophis","doulioti","(Angel, 1934)",NA,NA,NA,NA,"Rhacophorus  doulioti ",NA,NA,NA,"LC",NA,3.1,2016,"stable",NA,NA,NA,NA,NA,3.85,4.83,NA,NA,"nali","nali",NA,NA,38.79562763,21.17677821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5642","Boophis goudotii",5642,49542645,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","MANTELLIDAE","Boophis","goudotii","Tschudi, 1838",NA,NA,NA,NA,NA,"Goudot's Bright-eyed Frog",NA,NA,"LC",NA,3.1,2016,"stable",NA,NA,NA,NA,NA,5,8,NA,NA,"han","han",NA,NA,1.090598613,0.090978407,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5653","Boophis luteus",5653,57410,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","MANTELLIDAE","Boophis","luteus","(Boulenger, 1882)",NA,NA,NA,NA,"Rhacophorus  anceps|Rhacophorus  isabellinus |Rhacophorus  luteus |Rhacophorus   luteus  variety longicrus ","Ankafana Bright-eyed Frog",NA,NA,"LC",NA,3.1,2016,"decreasing",NA,NA,NA,NA,NA,3.85,5.4,NA,NA,"han","han",NA,NA,17.45955893,3.424763699,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5673","Boophis rappiodes",5673,57423,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","MANTELLIDAE","Boophis","rappiodes","(Ahl, 1928)",NA,NA,NA,NA,"Rhacophorus  rappiodes ","Central Bright-eyed Frog",NA,NA,"LC",NA,3.1,2016,"decreasing",NA,NA,NA,NA,NA,2.4,3.2,NA,NA,"han","han",NA,NA,13.91928871,2.775563024,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5687","Boophis tephraeomystax",5687,57432,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","MANTELLIDAE","Boophis","tephraeomystax","(Duméril, 1853)",NA,NA,NA,NA,"Boophis difficilis|Boophis  crossleyi |Boophis  difficilis|Polypedates dispar  variety leucopleura |Polypedates  crossleyi |Polypedates  dispar |Polypedates  tephraeomystax |Rhacophorus  crossleyi|Rhacophorus  dispar|Rhacophorus  hildebrandti |Rhacophorus  tephraeomystax","Dumeril's Bright-eyed Frog",NA,NA,"LC",NA,3.1,2016,"stable",NA,NA,NA,NA,NA,3.85,4.55,NA,NA,"han","han",NA,NA,33.8833118,9.560864767,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5693","Boophis xerophilus",5693,57436,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","MANTELLIDAE","Boophis","xerophilus","Glaw & Vences, 1997",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2016,"decreasing",NA,NA,NA,NA,NA,3.6,4.13,NA,NA,"nali","nali",NA,NA,20.04238471,5.608377789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5787","Brachycephalus didactylus",5787,54452,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BRACHYCEPHALIDAE","Brachycephalus","didactylus","(Izecksohn, 1971)",NA,NA,NA,NA,NA,"Flea-frog",NA,NA,"LC",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,0.65,0.83,NA,NA,"nali","nali",NA,NA,9.790102944,1.920367051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5788","Brachycephalus ephippium",5788,54453,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BRACHYCEPHALIDAE","Brachycephalus","ephippium","(Spix, 1824)",NA,NA,NA,NA,NA,"Pumpkin Toadlet",NA,NA,"LC",NA,3.1,2010,"stable",NA,"Polygynandrous (promiscuous)","Sexes alike","adw","adw",1.433,1.666,NA,NA,"nali","nali",NA,NA,38.4781469,11.43312157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No data available (CCI 30/10/2018)",NA,NA
